symbol,date,dividends
VTRS,2021-05-21,0.11
VTRS,2021-08-23,0.11
VTRS,2021-11-22,0.11
VTRS,2022-02-23,0.12
VTRS,2022-05-23,0.12
VTRS,2022-08-23,0.12
VTRS,2022-11-22,0.12
VTRS,2023-03-08,0.12
VTRS,2023-05-23,0.12
VTRS,2023-08-23,0.12
VTRS,2023-11-22,0.12
