symbol,date,dividends
msft,2019-02-20,0.46
msft,2019-05-15,0.46
msft,2019-08-14,0.46
msft,2019-11-20,0.51
msft,2020-02-19,0.51
msft,2020-05-20,0.51
msft,2020-08-19,0.51
msft,2020-11-18,0.56
msft,2021-02-17,0.56
msft,2021-05-19,0.56
msft,2021-08-18,0.56
msft,2021-11-17,0.62
msft,2022-02-16,0.62
msft,2022-05-18,0.62
msft,2022-08-17,0.62
msft,2022-11-16,0.68
msft,2023-02-15,0.68
msft,2023-05-17,0.68
msft,2023-08-16,0.68
msft,2023-11-15,0.75
