AAPL,100.0,68.54,96.0
ABBV,50.0,87.13,310.0
ARCC,50.0,13.8,96.0
ARM,10.0,51.21,0.0
DIS,50.0,94.65,88.0
DLR,35.0,89.25,170.8
DVN,210.0,45.25,327.75
ENB,190.0,31.82,328.75
EPD,35.0,24.64,70.0
ET,100.0,5.91,125.0
JEPI,65.0,54.45,340.29
MO,85,40.56,0.0
MSFT,30.0,167.08,90.0
O,255.0,55.78,353.05
PFE,200.0,32.81,246.0
SBUX,25,92.92,0
SCHD,78.0,71.79,183.29
SPG,30.0,74.74,228.0
TPVG,280.0,10.54,400.0
VICI,175,28.12,0.0
VYM,35.0,105.59,114.44
